order,module,item_id,item_type,title,duration_min,mvp_required,release_phase,unlock_rule,completion_rule,required_submission,primary_downloadable_id,proof_artifact,card_copy_status,notes
18,3,l14,lesson,"Урок 14. Как превращать сырой AI-черновик в рабочий результат",16,yes,phase_3_quality,after_l13,watch_and_answer_2_checks,lesson_self_check,none,editing_after_ai,ready,"Focus on manual revision, not only critique"
19,3,l15,lesson,"Урок 15. Минимальная цифровая гигиена и безопасность",14,yes,phase_3_quality,after_l14,watch_and_answer_2_checks,lesson_self_check,dl-l15-safe-use-rules,safe_use_rules,ready,"Required before Module 4 opens"
20,3,hw03,homework,"Домашняя работа 3. Чек-лист проверки и редактуры",75,yes,phase_3_quality,after_l15,submit_homework,quality_review_pack,dl-l12-quality-checklist,quality_review_pack,ready,"Need 3 cases with checklist review and manual fixes"
21,4,l16,lesson,"Урок 16. Деловая переписка и сообщения",16,yes,phase_4_workflows,after_hw03_accepted,watch_and_answer_2_checks,lesson_self_check,dl-l16-follow-up-template,follow_up_template,ready,"Use one internal or client-safe example"
22,4,l17,lesson,"Урок 17. Резюме документов и выделение сути",15,yes,phase_4_workflows,after_l16,watch_and_answer_2_checks,lesson_self_check,dl-l17-summary-template,document_summary_template,ready,"Summary must preserve facts and decisions"
23,4,l18,lesson,"Урок 18. Подготовка к встречам и созвонам",15,yes,phase_4_workflows,after_l17,watch_and_answer_2_checks,lesson_self_check,dl-l18-meeting-prep-canvas,meeting_prep_canvas,ready,"Participant leaves with a reusable prep structure"
24,4,l19,lesson,"Урок 19. Идеи, структура и черновики",14,yes,phase_4_workflows,after_l18,watch_and_answer_2_checks,lesson_self_check,dl-l19-outline-canvas,outline_canvas,ready,"Drafting aid, not final-authority lesson"
25,4,l20,lesson,"Урок 20. Первичное исследование темы",15,yes,phase_4_workflows,after_l19,watch_and_answer_2_checks,lesson_self_check,dl-l20-research-note-template,research_note,ready,"Always pair with source-checking reminder"
26,4,hw04,homework,"Домашняя работа 4. Личная библиотека универсальных сценариев",60,optional,phase_4_workflows,after_l20,submit_homework,scenario_library,dl-hw04-scenario-library,scenario_library,ready,"Optional in MVP; should not block Module 5"
27,5,l21,lesson,"Урок 21. AI как инструмент самообучения",13,yes,phase_5_rollout,after_l20,watch_and_answer_2_checks,lesson_self_check,dl-l21-learning-guide,learning_with_ai_rule,ready,"Participant defines one safe learning workflow"
28,5,l22,lesson,"Урок 22. Как не превратить AI в лишнюю игрушку",12,yes,phase_5_rollout,after_l21,watch_and_answer_2_checks,lesson_self_check,none,focus_rule,ready,"Connect usage to task frequency and value"
29,5,l23,lesson,"Урок 23. Как строить личную систему использования AI",15,yes,phase_5_rollout,after_l22,watch_and_answer_2_checks,lesson_self_check,dl-hw04-scenario-library,system_map,ready,"Bridge from isolated wins to repeatable library"
30,5,l24,lesson,"Урок 24. План внедрения на 14 дней",16,yes,phase_5_rollout,after_l23,watch_and_answer_2_checks,lesson_self_check,dl-l24-rollout-canvas,rollout_plan_seed,ready,"Unlock HW5 after lesson completion"
31,5,hw05,homework,"Домашняя работа 5. Личный план внедрения AI на 14 дней",45,yes,phase_5_rollout,after_l24,submit_homework,rollout_plan,dl-hw05-14-day-plan,rollout_plan,ready,"Need 3 priority scenarios and one measurable effect signal"
32,5,project,project,"Итоговый мини-проект",90,yes,phase_5_rollout,after_hw05_accepted,submit_project,mini_project_pack,dl-project-submission-template,mini_project_proof,ready,"Need full cycle: baseline, prompt, check, fix, final result, repeat rule"
33,5,diag_out,diagnostic,"Выходная самодиагностика",10,yes,phase_5_rollout,after_project_submitted,submit_form,diag_out_form,form-diag-out,post_pilot_compare,ready,"Course completion requires final self-diagnostic"
